message,vader_sentiment,textblob_sentiment,final_sentiment
Are the Ukrainian military all anti-semitic? How does that make sense when Zelenskyy is the President & I havn't heard of any J's out of the 2 million unalived in the Ukraine war. Someone help me?,negative,negative,negative
"Yeah eggs and gas are down where I live. But idc about that, i want all inflation to go down.",positive,positive,positive
David a Big Man,neutral,neutral,neutral
Peter give me the exact amount of oil in reserve for Canada,neutral,positive,positive
Screw Ukraine!,negative,neutral,negative
"I have dinner to start so have a fabulous day all, be it you are American, Canadian, etc etc Have a very fabulous day!!!!",positive,positive,positive
it's crazy in USA right now! cannot afford eggs... I mean wtf!,negative,negative,negative
🇺🇦🇺🇦🇺🇦🇺🇦,neutral,neutral,neutral
Dr. Sturgis!,neutral,neutral,neutral
Marcos way.,neutral,neutral,neutral
i dont even worship more so people that are harmless🎲🎲,negative,neutral,negative
🦁 ROAR.,neutral,neutral,neutral
Leave that blue dump district 9 now @Philipp before it's too late,negative,negative,negative
MK your great take care,positive,positive,positive
ZOG,neutral,neutral,neutral
DO YOU BELEVE IN AMMORTALITY?,neutral,neutral,neutral
Have a Great Dinner 🍽,positive,positive,positive
really? well see sboutvthat,positive,positive,positive
"Eggs are $4.50 a dozen, what's the problem?",negative,neutral,negative
daddy's home 😘😘😘,positive,neutral,positive
I worship chickens soon.........,positive,neutral,positive
@Phillip If you can't afford eggs that's a you problem,negative,neutral,negative
lucifor and trump to jail✝️✝️🗽🗽🗽,positive,negative,negative
China has biggest economy in the world,neutral,neutral,neutral
"1+1=2, Right?",neutral,positive,positive
a LOT of countries are gonna wake up on April 2nd and have to acknowledge how bad they treat the USA for all these years when we charge them all the same they charge us. Fairness incoming.,negative,negative,negative
"and if you're red in nyc, get out",neutral,neutral,neutral
scott thats weak..,negative,negative,negative
"As former Minister of Israel, Shulamit Aloni said on Democracy Now regarding anti-Semitism, ‘It’s a trick; we always use it whenever someone criticizes anything Israel does.‼",negative,neutral,negative
No eggs ? eat something else.. Duh,negative,negative,negative
who can afford $30 eggs??,neutral,neutral,neutral
right...,neutral,positive,positive
Whppersnaper punk,neutral,neutral,neutral
"Scott, who's Lucifor?",neutral,neutral,neutral
I think the other prices of things besides eggs and oil are here to stay. It's our new normal and we won't see deflation. I'm just praying not another event will lightning speed inflation again.,positive,positive,positive
Griping this much should I get a different job,neutral,positive,positive
beans beans the magical fruit,neutral,positive,positive
WHAT is your mission?,neutral,neutral,neutral
I SUPPOSE SALT MIGHT NEED PEPPER TO COMPLETE THE MEEL,neutral,positive,positive
"In Europe, if you criticize Israel, we call you a holocaust denier.’ Hee hee",negative,neutral,negative
own 3 chicken never pay for eggs again let them eat bugs not corn,positive,negative,negative
@Philipp Eggs aren't 30 bucks wtf are you smoking,positive,negative,negative
There's plenty of other food to eat,neutral,neutral,neutral
hapy st pattys day,neutral,neutral,neutral
Phillip how much are eggs where you are ?,neutral,positive,positive
R 🦁 AR,neutral,neutral,neutral
The REDS are taking over NYC huh huh huh that's cool huh huh,positive,positive,positive
my mission baptism,neutral,neutral,neutral
BS; HOW ARE YOU ENDING WARS BY FUNDING ISRAEL WITH MORE WARFARE AND DOING IT WITH OUR TAX DOLLARS,negative,neutral,negative
China is strongest country in the world,positive,neutral,positive
i just took a dump on my neighbor's yard,negative,neutral,negative
ty Tammy,positive,neutral,positive
Last time I checked it went USA #1 Germany #2 Japan #3 regarding economy Boris duh,neutral,negative,negative
I'm pissed,negative,neutral,negative
I checked again. too. didn't see Boston mass even in the top 10....lol meh,positive,positive,positive
Philip that would be the people who can afford alcohol that would be a people who can afford cigarettes that would be the people who can afford Vapes etcetera or whatever else you're addicted to..,neutral,negative,negative
they just made the eggs scarce and that's why it's temporarily inflated,neutral,neutral,neutral
"“Religion is regarded by the common people as true, by the wise as false, and by rulers as useful.” — Seneca‼",positive,positive,positive
"@Boris, Not china. Wait till our printing presses become hyper active...",positive,negative,negative
"@Common Sense OILR RERVES =4 Sources confirm ,UNITED STATE 44,5 BILLION BARRELS OF OIL CANADA 178 BILLION BARRELS OF OIL",positive,neutral,positive
phillip deternined to atay a fool. no sense just blabber. he ain't paying 30 a dozen eggs. faker,negative,neutral,negative
"eggs went up with Biden just like EVERYTHING else but people act like it's Trump's fault. While this was happening, Biden's regime was trying to make Trump a felon. get outta here with that delusion.",positive,neutral,positive
Les traités et les conventions sont là pour être violés bien sûr...🐩,neutral,neutral,neutral
"nobody can if you wondered..... nobody can pay $30 for eggs, we are litteraly f'ed",negative,neutral,negative
I'm not,neutral,neutral,neutral
Blessed be your thimble collection,positive,neutral,positive
Maybe a dog will step in it,neutral,neutral,neutral
uh oh Pentagon...,neutral,neutral,neutral
@Ben G FAKE NEWS,negative,negative,negative
sure but what are the Republicans done to make things better around you dude,positive,positive,positive
that Phillip BOT is still at it ?,neutral,neutral,neutral
The treaties and the conventions are there to be violated of course...🐩,negative,neutral,negative
Amazon has eggs today only 1.99 a dozen,positive,neutral,positive
"HIndus don't use toilets, is that true?",positive,positive,positive
Get help @Philipp ...you obviously can't make it on your own,positive,neutral,positive
he should put tarrifs on eggs.....,neutral,neutral,neutral
There's a park for a bank but is there pillars made of ivory,neutral,neutral,neutral
R🦁AR!,neutral,neutral,neutral
@reds China would crush US-GAY,negative,neutral,negative
resign Biden...to much uncertainty with trump!! inflation and wars..please supply Ukraine!,negative,positive,negative
can't you hippies buy some chickens and lay your own eggs?,neutral,neutral,neutral
Leo lightning poo is organic fertilizer,neutral,neutral,neutral
"@Common Sense OIL RESERVES"""" U.S 44,1 BILLION BARRELS . CANADA 178 BILLION BARELS",neutral,neutral,neutral
Will egg prices be a mirror,neutral,neutral,neutral
Peter the u.s. has 264 billion barrels of recoverable oil. Canada has 164 billion in recoverable reserves,neutral,neutral,neutral
Hi Karoline thanks for your excellent reporting as White House press secretary. Unfortunately most of those reporters or journalists are so dumb and stupid same as their ask questions.,negative,negative,negative
"Ford company owner - Alfred Brush Ford also became a devotee of Lord Krishna.... he donated a $30 million to Iskon trust , which is the constructing a big temple of Lord Krishna in India.",positive,neutral,positive
"get a damn chicken phillip. they eat food scraps. handle your issue like a,man philipp. youre grown",negative,negative,negative
@JEC J You're clearly lying but okay 👍. I'm looking at the info right now.,positive,positive,positive
we need to ship in some birds to increase the supply again I thought they were getting new birds from Europe?,positive,positive,positive
I dig this music,neutral,neutral,neutral
"it's crazy out here, fugged country... $30 eggs.... wtf we doing...",negative,negative,negative
Thank CHINA for the price of eggs,positive,neutral,positive
"believe it or not, egg prices have gone down in most areas...also, there is countless other food you can eat in the meantime if it hasn't gone down yet where you live. Yall act like eggs are water.",positive,positive,positive
Intelligence versus stupidity is an eternal battle,negative,negative,negative
Maybe you could apply for the retread status at SS @Philipp maybe you can get stae eggs,neutral,neutral,neutral
"@Lee HMM, MAYBE BABY?!/-…%=&",neutral,neutral,neutral
Alfred Brush Ford's new hindu name is Ambarish Das.,neutral,positive,positive
"@Common Sense i GOGLER 4 SOURCES YOU ARE WRONG,, SIMPLE",negative,negative,negative
hens are actually cute frriendly cuddle pets,positive,positive,positive
Peter that is wrong.,negative,negative,negative
Somalis also have a strange traditional toileting..lol,negative,negative,negative
some of us are making wiser choices Philip apparently you're not.. makes me wonder what your addiction is..l,positive,positive,positive
Bernie Sanders for president! immediatley!🗽🗽🕊💕,positive,neutral,positive
The dog got into the chicken coop,neutral,negative,negative
Peta!,neutral,neutral,neutral
🇨🇳 BUY CHINESE 🇨🇳,neutral,neutral,neutral
shall I post the top ten next,positive,positive,positive
how should I pay for chickens?? my money gone cause I wanted egg breakfast......,negative,neutral,negative
Idk what country you're talking about I get 24 eggs for 9-10 bucks,negative,neutral,negative
democrats toilets flush the wrong way around the bowel huh huh,negative,negative,negative
Peter you are wrong,negative,negative,negative
A country that is only 250 years old is still in the Middle Ages.,neutral,positive,positive
Sorry about that,negative,negative,negative
🗿,neutral,neutral,neutral
"Please amigos, do not deport me 🙏🏻",positive,neutral,positive
It's a jumper.,neutral,neutral,neutral
I am 🌍,neutral,neutral,neutral
My g🦁d is a lion.,neutral,neutral,neutral
People suddenly acting like they live off an eggs only diet. they drink the yolk and eat the shells too.,positive,positive,positive
eggs used to be the cheapest protein so that's why this is weird these prices,negative,negative,negative
"lucky you, but think about your country members....",positive,positive,positive
more than likely throw up you spend your money on cigarettes or alcohol.. make wiser choices use your money to buy a chicken or buy eggs..,positive,negative,negative
"Trump loves us all, he thinks about us every minute of the day. Elon is just the icing on the Trump Cake. Lets eat guys!",positive,neutral,positive
1 egg = 1 chicken. 1 chicken = 12 eggs. 12 eggs = 12 more chickens. 12 more chickens = 1 billion eggs,neutral,negative,negative
😆🔪,positive,neutral,positive
Carney and Starmer snorting carbon credits,positive,neutral,positive
I buy eggs on temu,neutral,neutral,neutral
who names a kid phil??? huh huh huh,neutral,neutral,neutral
look at those 2 crooks,neutral,neutral,neutral
I JUST MADE THE BIGGEST OMELET I'VE EVER HAD 💪💪💪💪💪 EGGS 4 DAYS 👍,neutral,neutral,neutral
The logical words Common Sense and Transparency!!! Get it? Some of you illiterate and ignorant journalists. You don't do your job right...,negative,positive,negative
Farfechko impossible*bump*,neutral,neutral,neutral
"Canada ain't goin' anywhere without America holding their damn hand, lol!",positive,positive,positive
unlimited eggs!!! if it was that easy everbody would do it...🫡,positive,positive,positive
Egg prices aren't weird. That's what happens when you kill off over a million laying chickens. 🤷🏽‍♂️,negative,negative,negative
"A big temple of Lord Krishna is being constrcuted in India which costs Rs. 500 crore. Alfred Brush Ford, who is the chairman of the $100M project donated $ 30 million to Iskon Trust in India..",positive,neutral,positive
"Peter America, Russia, and Saudi Arabia have more oil in reserve than Canada",neutral,neutral,neutral
Temu eggs have no Yolk,negative,neutral,negative
Eggs are down here,neutral,neutral,neutral
El Salvador must send the gang members back to USA immediately,neutral,neutral,neutral
LONG LIVE KING TRUMP,neutral,positive,positive
no dictatorship trump! democracy Supreme court rules with our Constitution!! our forefathers!1776 you took a oath with only president in history✝️🗽🗽🗽 without your hand on the bible!,positive,neutral,positive
temo eggs come from humans... it's china..........,neutral,neutral,neutral
Eggs are free here 🗼🟦,positive,positive,positive
my question is are you useful,positive,positive,positive
I don't want to raise chickens but I'm doing a garden. I've already put my seed in their germination pods and trays.,neutral,neutral,neutral
"@Common Sense You just proved you can't argue facts with a Liar of poorly educated person.ADVICE .. GET SMARTER ,, HAVE A NICE DAY",positive,positive,positive
I will have to poo before the day is over,neutral,neutral,neutral
I just made a 3 egg ham and cheese omelette with 3 of the biggest jumbo eggs I ever had. Bought 18 pack at walmart for 3.50,neutral,neutral,neutral
trump is mossad,neutral,neutral,neutral
"OH NO, I DONT HAVE EGGS, WHAT WILL I DO? I ONLY DRINK EGG YOLK AND EVEN EAT THE SHELL. I'm gonna die!",negative,neutral,negative
lol johnny add deviled eggs,positive,positive,positive
"@Live Desi Style Reactio, stop your sermons pls.",negative,neutral,negative
❤️ ❤️ ❤️,neutral,neutral,neutral
"chickens grow fast, wash your hands",neutral,positive,positive
yall mfers prolly don't even eat eggs. just complaining about nothing.,negative,neutral,negative
Hottie Soldier Girl with rhat cargo net,neutral,neutral,neutral
If you can talk like a bard then you can have farms run okay,positive,positive,positive
Putin gets the eastern part no matter what.,neutral,neutral,neutral
"Peter America has 264 billion, Russia has 254, Saudi Arabia has over 200. Canada has 164 billion",neutral,neutral,neutral
FREE EGGS IN ILLINOIS 🗼🗿🥂🟥 FREE EGGS 🟦,positive,positive,positive
ru useful,positive,positive,positive
NAYIB BUKELE is actually waiting on another couple plains now 💪💪💪 thanks EL SALVADOR,positive,positive,positive
I get my eggs right from the Robin's nest,neutral,positive,positive
Did P Trump declare war on Houthis or not yes or no,negative,neutral,negative
lol @Daniel,positive,positive,positive
"JEC, exactly",neutral,positive,positive
@reds Don't feel jealous....,positive,neutral,positive
"If you are not with international justice, you are against it.",negative,neutral,negative
"Zelensky is awesome, US must send him billions more",positive,positive,positive
farmers markets has em for the low,negative,neutral,negative
Peter you are Canadian so it doesn't matter anyway,negative,neutral,negative
Pentagon time...,neutral,neutral,neutral
Trump is sickening,negative,negative,negative
Remember when Biden was mentally ill is alway mentally ill me,negative,negative,negative
hell free coffee at the store and shyt,negative,positive,negative
isn't Ukraine incredibly corrupt,neutral,negative,negative
who this man think he is,neutral,neutral,neutral
"Robert, people will always find a way to complain about things no matter how small the issue is",negative,negative,negative
Any film released on the ari-strikes against the Hootie?,neutral,neutral,neutral
hello let's Go 🇺🇸🤝🇷🇺😎👍,positive,neutral,positive
robin eggs are delicious,positive,positive,positive
Tell us about your Peace Prize,positive,neutral,positive
"Jay why do you care, your an alein..",positive,neutral,positive
"2 Thessalonians 2:3 Let no man deceive you by any means, for that Day shall not come, unless there come a falling away first, and that man of sin be revealed, the son of perdition,",negative,positive,negative
boycott rogueusa lng crude ag beef liquor aircraft,negative,negative,negative
"Heck yeah Johnny (Also hello fellow deadhead, grateful Dead is cool)",positive,positive,positive
"@reds It is not you.......It was Alfred Brush Ford, who is the chairman of the $100M project , who donated $ 30 million to The Iskon trust which is constructing a big temple of Lord Krisna in India.",positive,neutral,positive
UKRAINE IS Corrupt & EXTREMELY RACIST,negative,negative,negative
Hunter Biden for president,neutral,neutral,neutral
peace is on a thread,positive,neutral,positive
"Wish we could have a day without tRump and his circus opening their mouths, and spreading lies and propaganda",negative,negative,negative
"@JEC C They were in bed with the Bidens, should tell you all you need to know.",neutral,neutral,neutral
do you guys think Trump will live the next 4 years for his entire term? I don't,neutral,positive,positive
Is it a secret just tell us if were at war w Houthis and if they are considered foreign enemy,negative,negative,negative
my name is beautiful,positive,positive,positive
the right is based not woke what is right woke,neutral,positive,positive
they won't show it here,neutral,neutral,neutral
We can discuss how union labor makes some amazing cars. This is a great part of America.,positive,positive,positive
"My neighbor saw me working in my yard yesterday...asked me to help him lift something...(I remmebred he is a dem), (looking at him) I said ""Butthead isn't available right now, goodbye"". huh huh",positive,positive,positive
that dude on fox..his head is bigger than his body,neutral,neutral,neutral
Trump is Killing children directly now,negative,positive,negative
Ukraine you mean Russia money laundering money to X no wonder Elon musk pushing Russian propaganda stop listening to Elon musk and Donald trump lies,negative,negative,negative
"constitution , Supreme courts rules our constitution not you trump your not our law. democracy over dictatorship🗽🇺🇲🕊💕",positive,neutral,positive
💪💪💪💪 STAY FLEXIN ON'EM,neutral,neutral,neutral
if you squeeze the chicken eggs come out faster,neutral,negative,negative
rogueusa<------isolate tariff boycott cut all ties,negative,neutral,negative
my name from sun is sun,neutral,neutral,neutral
we will be ok just have to not rely on anyone else especially the government they aren't there to save anyone. Just start little and prep what you can if while you have an income. It's not a bad idea.,positive,negative,negative
the fox dude has gay face,neutral,positive,positive
why did Thomas crooks miss,negative,neutral,negative
Just say no to Canada,negative,neutral,negative
People wanna defend Ukraine and call whites in America as the problem and all racist....umm...do you know Ukraine?,negative,neutral,negative
Im the expert of the middle east and defense talks.,positive,neutral,positive
whoever does the sound for these press conferences sucks,negative,positive,negative
Jay i doubt you move out of your mom's house in 4 years,negative,neutral,negative
Farfechko even fechko not in Asia...,neutral,neutral,neutral
wtf,negative,negative,negative
"LOL 😆😆😆 THE STATUE OF LIBERTY BACK, THEY COULDN'T AFFORD TO COME PICK IT UP",positive,positive,positive
my boss just walked it. I better look busy.,positive,positive,positive
Im back,neutral,neutral,neutral
No American should be defending Russia when Russian spying on you every day with china got your Arial map views at us borders,negative,neutral,negative
TRUMP IS A PDF,neutral,neutral,neutral
I am interested to see the outcome of Judiciary vs Executive power game...,positive,negative,negative
Rússia is the new worlds ruler,neutral,positive,positive
How the stock market doing today,neutral,neutral,neutral
"wb John, we need you",neutral,neutral,neutral
breaking news I have breaking news britney spears sprained her ankle leaping,neutral,neutral,neutral
Morning star,neutral,neutral,neutral
USA has always kept intl shipping open. since marines formed to attack Islamist attacking passing ships,negative,neutral,negative
Russia got America nuke codes bc Russian spy in the government,neutral,neutral,neutral
Corruption is a job ❤️🍟,neutral,neutral,neutral
GREAT QUESTION.... HOW IS THE STOCK MARKET DOING TODAY,positive,positive,positive
There are allot of brainwashed lefties in here....We tried it your way and you F'ed it up so it's our tern get over it.,neutral,neutral,neutral
cofounder of un nato is breaking its founding principles isolate rogueusa it is a pariah state,negative,neutral,negative
He's weak to,negative,negative,negative
"51ST US STATE, CANADA!!!",neutral,neutral,neutral
Remember to like and subscribe chat,positive,neutral,positive
the statue is laddy liberty not lady liberty. it's a dude,positive,neutral,positive
Trump loves all the little children of the world especially the poor minoirty black and brown but wait white is a minority to the chinese so we needd some help too.,positive,negative,negative
it's ok it would be worse if the government shutdown happened,negative,positive,negative
17 TECH STUDENTS,neutral,neutral,neutral
up today =),neutral,neutral,neutral
Stock up 522,neutral,neutral,neutral
hat he said.,neutral,neutral,neutral
🥠,neutral,neutral,neutral
USA said in 1800s fk islamists predation on intl ships,neutral,neutral,neutral
Look how gay he looks,neutral,positive,positive
WEF Puppet,neutral,neutral,neutral
BEGGING NOT TO BE SOLD,neutral,neutral,neutral
So really Appllo is like one-off,positive,positive,positive
@PeekaPeep you just upgraded the # from 53 to 51,neutral,neutral,neutral
eu grow a pair tariff boycott trumpnation it is not usa it is a rogue state,negative,neutral,negative
❤️🍟💹💎 it IS gay🟦,neutral,positive,positive
PLEASE DONT SEL US TO THE US,positive,neutral,positive
"He thinks that Alfred Brush Ford is Alfred Brush Ford..... :face-blue-smiling::face-blue-smiling::face-blue-smiling:....Well , Alfred Brush Ford's name has changed...his name is Ambarish Das..hindu name.",neutral,neutral,neutral
peek usually confused,negative,negative,negative
a true doh incarnate not my Prime Minister,positive,positive,positive
❤️🇨🇦,neutral,neutral,neutral
I just don't feel this new prime minister love Trudeau,positive,positive,positive
why are girls rubbing their lee bee dough on me,neutral,neutral,neutral
Hes telling him the world is being reordered right now OH REALLY how about explaining that to 7 million people,neutral,positive,positive
"Has anyone noticed how people who are democrat often seem to be the most judgmental and controlling of rules when they have power, but tend to play the victims when they can't force their authority?",neutral,neutral,neutral
"Trump forcing all the maggots out of the woodwork, lol!",positive,positive,positive
are these guys in the waiting area to talk to Trump?,neutral,neutral,neutral
in your own name,neutral,neutral,neutral
get off USA tit Europe. we dont owe you crap.,positive,negative,negative
Is that a man? Why is he/she/it crossing their legs.,neutral,neutral,neutral
china where there is chaos there is opportunity,negative,neutral,negative
Imagine if your mascot was a leaf huh huh huh,neutral,neutral,neutral
crime sinister,negative,negative,negative
Starmer is a snake,neutral,neutral,neutral
maggots don't live in wood......,neutral,positive,positive
INTERIM GOVERNOR CARNEY,neutral,neutral,neutral
"maple leafs are not scarey, but they do care about trees",positive,negative,negative
we all came back../,neutral,neutral,neutral
magats are cool huh huh huh,positive,positive,positive
A bank owner,neutral,neutral,neutral
Trudeau put his buddy in,neutral,neutral,neutral
I didnt get that memo tell us all about that New World Order,neutral,positive,positive
Canadian Rangers have always been classier than Texas Rangers.,neutral,neutral,neutral
China and Russia bring chaos and trying to steal land just like Israel who pulling trump strings,negative,neutral,negative
boycott us airlines,negative,neutral,negative
"Canada, did you know that your new PM got educated @Harvard, at the expense of US tax payers.",neutral,positive,positive
Jeezus I can’t take andy Mack serious whatsoever 🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️,negative,negative,negative
"Laurene Powell Jobs, the billionaire widow of Steve Jobs , Apple company , visited India to attend The Maha Kumbh 2025....She adopted hindu name "" Kamala "".",neutral,neutral,neutral
self sovereign is strength. unity strength. diversity of ideologies n values is train wreck,positive,neutral,positive
Your mascot is a leaf huh huh huh,neutral,neutral,neutral
"Correct, maggots don't eat wood. Termites do...",neutral,neutral,neutral
Keir is q*eer,neutral,neutral,neutral
ugh,negative,neutral,negative
"Europe says, ""....but article 5!!!"" while they pretend to forget the countless things we've done for them for decades. They don't want to look at the score cards.",negative,neutral,negative
It is so sad to see the US sinkin,negative,negative,negative
Dudley Do Right is going to et his man,neutral,positive,positive
DEMOCRAPS suck huh huh huh,negative,neutral,negative
It's as if they dont think we can hear them,neutral,neutral,neutral
You can still eat mcdonald's lol just that's how a president works corruption is a job and they are kings,positive,positive,positive
"THE MAN, THE MYTH, THE LEGEND!",neutral,neutral,neutral
Here comes your freak of a president. Nice job,neutral,positive,positive
ban racism from campus,negative,neutral,negative
It looked like canada needs to pay their bills.,positive,neutral,positive
America is failing,negative,neutral,negative
broke monkey,negative,negative,negative
pleaseee,neutral,neutral,neutral
ban islam from campus.,negative,neutral,negative
No boycott Tesla x xai neuralink SpaceX starlink anything Elon musk and trump Amazon Facebook Instagram Microsoft Google Apple not anything else,positive,neutral,positive
Top leaders are connected with Hindu religion.,positive,positive,positive
eu army now 1.3m with nukes stop missions to dc grow a pair,negative,neutral,negative
It's a real life GLITCH!!!!,neutral,positive,positive
Belt still on way,neutral,neutral,neutral
You should have seen it 4 months ago,neutral,neutral,neutral
People save. It's not a shame,positive,neutral,positive
"The fact that all of Canadian cities are bordering with US, says it all !!!!!!!!!!!!!",neutral,neutral,neutral
actually in USA the only immigrants who attack our citizens are muslims and s America gangs cartels,negative,neutral,negative
rapasse,neutral,neutral,neutral
Can you fix the audio echo?,neutral,neutral,neutral
PRESIDENT TRUMP 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 🇺🇸 💪,neutral,neutral,neutral
cancel social media of racists,negative,positive,negative
no we love Palestinians unless they do something wrong no boycotting them for protesting against Israel genocide,negative,neutral,negative
Where's McGregor?,neutral,neutral,neutral
DEPORT ILHAN OMAR,neutral,neutral,neutral
GET BACK TO WORK you government trolls,neutral,neutral,neutral
I LOVE A PIANO!,positive,positive,positive
??? On time??,neutral,neutral,neutral
hopefully the next Canadian governor doesn't quit aye. or maybe he should straight away?,positive,positive,positive
"Paul, that's completely INCOHERENT",neutral,negative,negative
"Democrats wear shirts that say ""legend ⬇"" on the back. huh huh huh",neutral,neutral,neutral
my baptism 3 day week 6 number 5 month 2026,positive,neutral,positive
People talk about Elon not being elected when he's not a politician.....yet they forced Kamala Harris on their Democrat citizens even though NOBODY nominated her.,negative,negative,negative
You've got to pay your bills.,negative,neutral,negative
"IMPEACH TRUMP, BRING BACK BIDEN",neutral,neutral,neutral
Children are dying.,neutral,neutral,neutral
USA,neutral,neutral,neutral
"what happened to Trump,he looks much older",neutral,positive,positive
he forgot to mention the piano was 400 years older than america../.,neutral,positive,positive
rogueusa gone fascist boycott isolate sanction this pariah state and rogueisrael,negative,neutral,negative
"let's be neutral, deport medication commercials",neutral,neutral,neutral
MAGA FLEX 💪!,neutral,neutral,neutral
FAUCI ---------------------> GITMO,neutral,neutral,neutral
it doesn't matter how much they stomp their feet or bang their head on the wall he's still the president for 4 years,neutral,positive,positive
MAGA!!!,neutral,neutral,neutral
Too many women! And too many Women! Na pay a bill,negative,positive,negative
I always hope who gets elected by will of the people does great job RU.,positive,positive,positive
:card-red-penalty::buffering:,neutral,neutral,neutral
bro you feel miserable because of all your sins on the weekend 😭🤤,negative,negative,negative
Jonny g you are incoherent,neutral,negative,negative
3/6/5/2026,neutral,neutral,neutral
PLEASE FIX THE AUDIO,positive,neutral,positive
Stuff the eggs the buildings Houthis declared war on US are we officially at war or not,negative,neutral,negative
fox is fkin up,neutral,neutral,neutral
STAY MAGA STRONG,positive,positive,positive
"Newsflash, people are ALWAYS dying... From your first breath, you begin to die...",negative,positive,negative
Dems are all for women’s rights except in sports,neutral,neutral,neutral
"FOX IS BROKE, HAHA!",positive,positive,positive
he gettin pressed,neutral,neutral,neutral
welcome back to 🇮🇱 1st tell lie vision,positive,positive,positive
I'm an iron lion.,neutral,neutral,neutral
💚💚💚,positive,neutral,positive
sikh hindu buddhist are actually nice immigrants to USA society. MARXIST and Islamic arent. they come as enemies to my people.,negative,positive,negative
"Many more Trump presidencies on the way guys. Trumps for 1,000 years of American Power and Greatness coming.",neutral,positive,positive
more lies as if golfing is wasting our money...when. he starts working with Congress after he lied to get access to the Treasury for tax cut for robber Barrons,negative,neutral,negative
DEPORT JIM ACOSTA,neutral,neutral,neutral
is Yemen the 53rd state yet?,neutral,neutral,neutral
when does WW3 start,neutral,neutral,neutral
I JUST TOOK A UKRAINE BUT I RAN OUT OFF PALESTINE TO EIPE WITH.......,neutral,neutral,neutral
grab a different feed!,neutral,neutral,neutral
yall always have problems with live videos. every day if it ain't sound it's video,negative,positive,negative
sin less and less bro 😭🤤,negative,negative,negative
Eu importing liberal trojan horses,neutral,neutral,neutral
grrrrrrrr,neutral,neutral,neutral
"lel, trump got lionised in one day.,./ :elbowcough::card-red-penalty:",neutral,neutral,neutral
no trump brokered peacestay strong ukraine dont sell out to putin russia is on its knees morale low it has empty threats,negative,positive,negative
Peeka Pee Diddy Peeps,neutral,neutral,neutral
The DEMS are broke lol,neutral,positive,positive
Is trump in the subway? explains why it's spotty signal,neutral,neutral,neutral
"fox is having some troubles, too much dope over the weekend",negative,positive,negative
I JUST TOOK A UKRAINE BUT I RAN OUT OFF PALESTINE TO WIPE WITH.......,neutral,neutral,neutral
karne selected by the wef,neutral,neutral,neutral
@Juggernaut :face-blue-smiling:,neutral,neutral,neutral
Welcome back to reality. Wake up from that 4 year nightmare and feel relieved that we will never allow those days to happen again.,positive,positive,positive
Some of journalists/ reporters come but no valid and interesting questions for the sake of MAGa,positive,positive,positive
yeah it's been real bad lately,negative,negative,negative
Dementia Trump,neutral,neutral,neutral
They’re in a bunker reception isn’t going to be great,positive,positive,positive
the somali pirates are the real problem,negative,positive,negative
I'm gonna get some custom toilet paper with Ukraine printed on it so I can wipe my butt with it like Zelensky did with our tax dollars.,positive,negative,negative
@Paul Lefort last year when Xi said he was at war with the west.,negative,neutral,negative
PEE DRIBBLY huh huh huh,neutral,neutral,neutral
Trash feed. Deport the reporter,neutral,neutral,neutral
Half the country is being blown and burnt up what are we doing about that right now,neutral,positive,positive
Technical problems may reflect drug abuse,negative,neutral,negative
Watch Trump live responding to questions on deportations on Fox live Now,neutral,positive,positive
"Please amigos, let me stay in US 🙏🏻",positive,neutral,positive
The female dog in heat level of these reporters is disgusting. can we please get better reporters to ask questions that we actually care about?,positive,negative,negative
HEY ILLEGALS :card-red-penalty:,neutral,neutral,neutral
black :face-fuchsia-tongue-out:,neutral,negative,negative
Amigo americano es bueno.,neutral,neutral,neutral
Nancy Pelosi deserves jail time,neutral,negative,negative
Lol 95000 soldiers w2g cucknadia,positive,positive,positive
That is a man.,neutral,neutral,neutral
as live as possible Josh,neutral,positive,positive
Trump is BIBLICAL,neutral,neutral,neutral
this is why they say America is racist,negative,neutral,negative
"NYLOCKED, you say that while your former president Biden doesn't even know where he is, what he's doing, or even what his name is",neutral,neutral,neutral
@Juggernaut No illegal alien 👽jugs in the usa!,positive,negative,negative
"Amerigo Vespucci was terrorist, right?",negative,positive,negative
Ask reasonable questions for the sake and improvement of MAGA!!!,positive,positive,positive
trump stealing your money gold social security healthcare and leave you broke when china Russia come to nuke America.... leave the houthis,negative,positive,negative
Christianity religion of sun my slaves ✝️ 2 000 000 000,neutral,neutral,neutral
"That's what the Houthis have always been, duh!",neutral,negative,negative
Let's be PERFECTLY CLEAR...,positive,positive,positive
Trump is love.,positive,positive,positive
sanction rogueusa they are in breach of un norms threatening free media and sovereign nations,neutral,positive,positive
For you're an illegal get out NOW! we dont want you,negative,negative,negative
I knew it @PeekaPeep just blocked me,negative,neutral,negative
Whom are Houtis? What do they have which we do not have?,neutral,neutral,neutral
i need ice in my little city. ms13 and some other gang moved in the last year and drive by shootings have killed around 8 teens n adults more wounded,negative,negative,negative
Thanks for that foreign terrorist organization so are officially at war w them,negative,positive,negative
MAGA or nothing dudes,neutral,neutral,neutral
Leave the houthis alone leave the houthis alone stop killing people trump,negative,neutral,negative
Rocky rockin' men gonna shoot some frickin' guns,negative,neutral,negative
